X,Y,OBJECTID,ID,IsNTMT,STREET,BLOCKNUM,BLOCKDIR,CROSSSTREET,CROSSBLOCK,CROSSBLOCKDIR,COUNTDATE,VOLUME,COUNTTYPE,DIRECTION,DESCRIPTION,DISTRICT,COUNTSTATION,BUDGETYR,COMMENTS,VERIFIEDON,AVG_SPEED
649743.950787403,903632.174540684,27544,14936,0,EARLL DR,3100,N,7TH AVE,700,W,2016/10/18 07:00:00+00,2103,MID2,West Bound,Volume Map,4,5436,2017,,2016/11/30 21:16:10+00,
649743.812007874,903544.850065619,27545,14936,0,EARLL DR,3100,N,3RD AVE,300,W,2016/10/18 07:00:00+00,2325,MID2,East Bound,Volume Map,4,5436,2017,,2016/11/30 21:16:10+00,
636253.926181104,907371.41371391,27546,14937,0,31ST AVE,3400,N,INDIAN SCHOOL RD,4100,N,2016/10/18 07:00:00+00,1460,MID2,South Bound,Volume Map,4,2151,2017,,2016/11/30 21:17:05+00,
636317.945866141,907371.284776904,27547,14937,0,31ST AVE,3400,N,OSBORN RD,3400,N,2016/10/18 07:00:00+00,1458,MID2,North Bound,Volume Map,4,2151,2017,,2016/11/30 21:17:05+00,
633589.992125984,903254.417979002,27548,14938,0,35TH AVE,3500,W,OSBORN RD,3400,N,2016/10/18 07:00:00+00,15730,MID2,South Bound,Volume Map,4,2150,2017,,2016/11/30 21:18:03+00,
633644.87335958,903254.302821524,27549,14938,0,35TH AVE,3500,W,THOMAS RD,2900,N,2016/10/18 07:00:00+00,13910,MID2,North Bound,Volume Map,4,2150,2017,,2016/11/30 21:18:03+00,
636205.16929134,898300.630905509,27550,14939,0,31ST AVE,3100,W,ENCANTO BLVD,2300,N,2016/10/18 07:00:00+00,1592,MID2,South Bound,Volume Map,4,4166,2017,,2016/12/01 14:14:40+00,
636257.009514436,898300.526574805,27551,14939,0,31ST AVE,3100,W,MCDOWELL RD,1600,N,2016/10/18 07:00:00+00,1697,MID2,North Bound,Volume Map,4,4166,2017,,2016/12/01 14:14:40+00,
628268.828740157,898896.133858271,27552,14940,0,43RD AVE,4300,W,ENCANTO BLVD,2300,N,2016/10/18 07:00:00+00,18719,MID2,South Bound,Volume Map,4,2137,2017,,2016/12/01 14:15:07+00,
628354.210958004,898895.940616801,27553,14940,0,43RD AVE,4300,W,MCDOWELL RD,1600,N,2016/10/18 07:00:00+00,20160,MID2,North Bound,Volume Map,4,2137,2017,,2016/12/01 14:15:07+00,
623079.903543308,909401.895997375,27554,14942,0,51ST AVE,5100,W,CAMPBELL AVE,4500,N,2016/10/18 07:00:00+00,15663,MID2,South Bound,Volume Map,6,2131,2017,,2016/12/01 14:15:27+00,
623171.354330707,909401.673884511,27555,14942,0,51ST AVE,5100,W,INDIAN SCHOOL RD,4100,N,2016/10/18 07:00:00+00,15273,MID2,North Bound,Volume Map,6,2131,2017,,2016/12/01 14:15:27+00,
622998.748031497,898591.951771654,27556,14943,0,51ST AVE,5100,W,ENCANTO BLVD,2300,N,2016/10/25 07:00:00+00,21181,MID2,South Bound,Volume Map,4,1141,2017,,2016/12/01 20:40:45+00,
623079.039370079,899006.550853021,27557,14943,0,51ST AVE,5100,W,MCDOWELL RD,1600,N,2016/10/18 07:00:00+00,20522,MID2,North Bound,Volume Map,4,1141,2017,,2016/12/01 20:40:45+00,
622955.666666668,893414.413385823,27558,14944,0,51ST AVE,5100,W,ROOSEVELT ST,1000,N,2016/10/19 07:00:00+00,19643,MID2,South Bound,Volume Map,7,2132,2017,,2016/12/01 20:41:35+00,
623041.063976377,893414.206036747,27559,14944,0,51ST AVE,5100,W,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,24018,MID2,North Bound,Volume Map,7,2132,2017,,2016/12/01 20:41:35+00,
625631.893372703,891432.298556432,27560,14945,0,47TH AVE,4700,W,JEFFERSON ST,150,S,2016/10/19 07:00:00+00,479,MID2,South Bound,Volume Map,7,2450,2017,,2016/12/01 20:41:54+00,
625686.794947505,891432.169947505,27561,14945,0,47TH AVE,4700,W,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,482,MID2,North Bound,Volume Map,7,2450,2017,,2016/12/01 20:41:54+00,
628248.528543308,892623.344816275,27562,14947,0,43RD AVE,4300,W,ROOSEVELT ST,1000,N,2016/10/19 07:00:00+00,14560,MID2,South Bound,Volume Map,7,3142,2017,,2016/12/01 20:42:17+00,
628330.877952754,892623.158464566,27563,14947,0,43RD AVE,4300,W,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,16334,MID2,North Bound,Volume Map,7,3142,2017,,2016/12/01 20:42:17+00,
630903.472112861,893290.574475065,27564,14949,0,39TH AVE,3900,W,ROOSEVELT ST,1000,N,2016/10/19 07:00:00+00,1781,MID2,South Bound,Volume Map,4,4155,2017,,2016/12/01 20:42:35+00,
630958.370406825,893290.454724409,27565,14949,0,39TH AVE,3900,W,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,1693,MID2,North Bound,Volume Map,4,4155,2017,,2016/12/01 20:42:35+00,
630904.924868766,891158.394356959,27566,14950,0,39TH AVE,100,N,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,675,MID2,South Bound,Volume Map,7,1482,2017,,2016/12/01 20:43:04+00,
630950.676509187,891158.294619426,27567,14950,0,39TH AVE,100,N,END of ROAD,100,N,2016/10/19 07:00:00+00,573,MID2,North Bound,Volume Map,7,1482,2017,,2016/12/01 20:43:04+00,
636120.557414699,891118.348425195,27568,14951,0,31ST AVE,3100,W,HARRISON ST,410,S,2016/10/19 07:00:00+00,1961,MID2,South Bound,Volume Map,7,2108,2017,,2016/12/01 20:43:28+00,
636172.409448817,891118.244094491,27569,14951,0,31ST AVE,3100,W,VAN BUREN ST,300,N,2016/10/19 07:00:00+00,2027,MID2,North Bound,Volume Map,7,2108,2017,,2016/12/01 20:43:28+00,
653938.851706035,936816.709973752,27570,14952,1,MOUNTAIN VIEW RD,9800,N,3RD ST,300,E,2016/11/29 07:00:00+00,2501,MID2,West Bound,Special,3,2161,2017,,2016/12/05 15:50:58+00,32
653932.802493438,936845.827427819,27571,14952,1,MOUNTAIN VIEW RD,9800,N,5TH ST,500,E,2016/11/29 07:00:00+00,2307,MID2,East Bound,Special,3,2161,2017,,2016/12/05 15:50:58+00,32
657312.206364829,931357.738517061,27572,14953,1,12TH ST,1200,E,ECHO LN,8450,N,2016/11/29 07:00:00+00,9386,MID2,South Bound,Cut Thru Traffic,6,5155,2017,,2016/12/05 15:51:28+00,38
657376.216535434,931386.760498688,27573,14953,1,12TH ST,1200,E,BUTLER DR,8500,N,2016/11/29 07:00:00+00,8091,MID2,North Bound,Cut Thru Traffic,6,5155,2017,,2016/12/05 15:51:28+00,38
685962.43011811,904901.63188976,27574,14954,1,OSBORN RD,3400,N,54TH ST,5400,E,2016/11/29 07:00:00+00,1468,MID2,West Bound,Cut Thru Traffic,6,3269,2017,,2016/12/05 15:52:16+00,28
685962.40616798,904847.054133855,27575,14954,1,OSBORN RD,3400,N,56TH ST,5600,E,2016/11/29 07:00:00+00,1261,MID2,East Bound,Cut Thru Traffic,6,3269,2017,,2016/12/05 15:52:16+00,28
652141.575459316,916505.258202098,27578,14956,0,CENTRAL AVE,0,W,BETHANY HOME RD,6000,N,2016/11/01 07:00:00+00,10538,MID2,South Bound,Volume Map,6,7012,2017,,2016/12/05 15:37:42+00,
652171.727362204,916290.537729658,27579,14956,0,CENTRAL AVE,0,W,MISSOURI AVE,5500,N,2016/11/08 07:00:00+00,10513,MID2,North Bound,Volume Map,6,7012,2017,,2016/12/05 15:37:42+00,
686207.054790027,899560.182414696,27580,14957,0,OAK ST,2300,N,56TH ST,5600,E,2016/11/01 07:00:00+00,1994,MID2,West Bound,Volume Map,6,4284,2017,,2016/12/05 15:38:01+00,
686207.035761155,899516.52034121,27581,14957,0,OAK ST,2300,N,52ND ST,5200,E,2016/11/01 07:00:00+00,1734,MID2,East Bound,Volume Map,6,4284,2017,,2016/12/05 15:38:01+00,
691838.252296589,908137.856955379,27582,14958,0,64TH ST,4100,N,CAMELBACK RD,4500,N,2016/11/01 07:00:00+00,808,MID2,South Bound,Volume Map,6,3089,2017,,2016/12/05 15:38:20+00,
691862.63976378,908137.850721784,27583,14958,0,64TH ST,4100,N,LAFAYETTE BLVD,4100,N,2016/11/01 07:00:00+00,725,MID2,North Bound,Volume Map,6,3089,2017,,2016/12/05 15:38:20+00,
676050.677165356,916740.085629918,27584,14959,0,40TH ST,4000,E,MCDONALD DR,5880,N,2016/11/01 07:00:00+00,758,MID2,South Bound,Volume Map,6,4418,2017,,2016/12/05 15:38:46+00,
676096.397309713,916747.328412071,27585,14959,0,40TH ST,4000,E,STANFORD DR,5500,N,2016/11/01 07:00:00+00,930,MID2,North Bound,Volume Map,6,4418,2017,,2016/12/05 15:38:46+00,
675642.597112861,921088.459645666,27586,14960,0,LINCOLN DR,6500,N,40TH ST,4000,E,2016/11/01 07:00:00+00,13844,MID2,West Bound,Volume Map,6,1186,2017,,2016/12/05 15:39:12+00,
675642.535104986,921008.41141732,27587,14960,0,LINCOLN DR,6500,N,36TH ST,3600,E,2016/11/01 07:00:00+00,13623,MID2,East Bound,Volume Map,6,1186,2017,,2016/12/05 15:39:12+00,
686740.922900263,972626.097769029,27588,14961,0,56TH ST,5600,E,SR101,19900,N,2016/11/30 07:00:00+00,11327,MID2,South Bound,Volume Map,2,2467,2017,,2016/12/05 15:39:39+00,45
686856.527887139,972626.049212597,27589,14961,0,56TH ST,5600,E,DEER VALLEY RD,21060,N,2016/11/30 07:00:00+00,11246,MID2,North Bound,Volume Map,2,2467,2017,,2016/12/05 15:39:39+00,45
666789.566929135,923170.497703411,27590,14963,0,SQUAW PEAK DR,6800,N,END OF ROAD,3150,E,2016/11/01 07:00:00+00,986,MID2,West Bound,Volume Map,6,5500,2017,,2016/12/05 15:40:39+00,
666807.822178479,923145.008530185,27591,14963,0,SQUAW PEAK DR,6800,N,26TH ST,2500,E,2016/11/01 07:00:00+00,998,MID2,East Bound,Volume Map,6,5500,2017,,2016/12/05 15:40:39+00,
660710.834317584,920779.662401572,27592,14964,0,MARYLAND AVE,6500,N,18TH ST,1800,E,2016/11/01 07:00:00+00,288,MID2,West Bound,Volume Map,6,1257,2017,,2016/12/05 15:48:26+00,
660710.7664042,920725.084317587,27593,14964,0,MARYLAND AVE,6500,N,16TH ST,1600,E,2016/11/01 07:00:00+00,313,MID2,East Bound,Volume Map,6,1257,2017,,2016/12/05 15:48:26+00,
660093.062335957,919015.738188975,27594,14965,0,16TH ST,1600,E,MARYLAND AVE,6500,N,2016/11/01 07:00:00+00,11109,MID2,South Bound,Volume Map,6,1173,2017,,2016/12/05 15:48:46+00,
660172.28116798,919004.722769029,27595,14965,0,16TH ST,1600,E,BETHANY HOME RD,6000,N,2016/11/01 07:00:00+00,11349,MID2,North Bound,Volume Map,6,1173,2017,,2016/12/05 15:48:46+00,
660033.866797902,905927.980314963,27596,14966,0,16TH ST,1600,E,INDIAN SCHOOL RD,4100,N,2016/11/01 07:00:00+00,12054,MID2,South Bound,Volume Map,4,4112,2017,,2016/12/05 15:49:06+00,
660107.035104986,905927.888123363,27597,14966,0,16TH ST,1600,E,OSBORN RD,3400,N,2016/11/01 07:00:00+00,12481,MID2,North Bound,Volume Map,4,4112,2017,,2016/12/05 15:49:06+00,
660030.518372703,903275.497375324,27598,14967,0,16TH ST,1600,E,OSBORN RD,3400,N,2016/11/01 07:00:00+00,13057,MID2,South Bound,Volume Map,4,1111,2017,,2016/12/05 15:49:27+00,
660100.61187664,903249.939304464,27599,14967,0,16TH ST,1600,E,THOMAS RD,2900,N,2016/11/08 07:00:00+00,12490,MID2,North Bound,Volume Map,4,1111,2017,,2016/12/05 15:49:27+00,
654757.369422574,919259.430118114,27600,14969,0,7TH ST,700,E,MARYLAND AVE,6500,N,2016/11/01 07:00:00+00,15419,MID2,South Bound,Volume Map,6,3172,2017,,2016/12/05 15:49:44+00,
654836.659120735,919299.340879261,27601,14969,0,7TH ST,700,E,BETHANY HOME RD,6000,N,2016/11/01 07:00:00+00,16127,MID2,North Bound,Volume Map,6,3172,2017,,2016/12/05 15:49:44+00,
657332.015419949,930237.031496063,27602,14970,0,12TH ST,1200,E,BUTLER DR,8500,N,2016/11/08 07:00:00+00,9506,MID2,South Bound,Volume Map,6,5155,2017,,2016/12/05 15:49:58+00,
657383.44488189,929971.346456692,27603,14970,0,12TH ST,1200,E,NORTHERN AVE,8000,N,2016/11/01 07:00:00+00,8155,MID2,North Bound,Volume Map,6,5155,2017,,2016/12/05 15:49:58+00,
657421.562992126,924349.709973752,27604,14971,0,12TH ST,1200,E,ORANGEWOOD AVE,7500,N,2016/11/01 07:00:00+00,7730,MID2,South Bound,Volume Map,6,6162,2017,,2016/12/05 15:50:26+00,
657455.078740157,924349.665026248,27605,14971,0,12TH ST,1200,E,GLENDALE AVE,7000,N,2016/11/01 07:00:00+00,5996,MID2,North Bound,Volume Map,6,6162,2017,,2016/12/05 15:50:26+00,
676643.757217847,997181.964238845,27606,14972,0,DYNAMITE BLVD,28200,N,42ND ST,4200,E,2016/11/02 07:00:00+00,3998,MID2,West Bound,Volume Map,2,4506,2017,,2016/12/06 14:49:47+00,
676643.732611548,997149.216207348,27607,14972,0,DYNAMITE BLVD,28200,N,CAVE CREEK RD,3700,E,2016/11/02 07:00:00+00,3536,MID2,East Bound,Volume Map,2,4506,2017,,2016/12/06 14:49:47+00,
682480.31594488,997232.740157478,27608,14973,0,DYNAMITE BLVD,28200,N,52ND ST,5200,E,2016/11/02 07:00:00+00,7003,MID2,West Bound,Volume Map,2,1194,2017,,2016/12/06 14:50:25+00,
682206.691929135,997167.398293965,27609,14973,0,DYNAMITE BLVD,28200,N,TATUM BLVD,4800,E,2016/11/02 07:00:00+00,6589,MID2,East Bound,Volume Map,2,1194,2017,,2016/12/06 14:50:25+00,
682538.161745407,991931.170931756,27612,14975,0,JOMAX RD,26600,N,52ND ST,5200,E,2016/11/02 07:00:00+00,1106,MID2,West Bound,Volume Map,2,2490,2017,,2016/12/07 15:02:32+00,
682538.139435697,991891.145669289,27613,14975,0,JOMAX RD,26600,N,TATUM BLVD,4800,E,2016/11/02 07:00:00+00,1104,MID2,East Bound,Volume Map,2,2490,2017,,2016/12/07 15:02:32+00,
670541.634514436,953796.334645666,27614,14976,0,32ND ST,3200,E,GREENWAY RD,15400,N,2016/11/02 07:00:00+00,13311,MID2,South Bound,Volume Map,3,6040,2017,,2016/12/07 15:03:36+00,
670614.691929135,953796.266404197,27615,14976,0,32ND ST,3200,E,ACOMA DR,14600,N,2016/11/02 07:00:00+00,13111,MID2,North Bound,Volume Map,3,6040,2017,,2016/12/07 15:03:36+00,
692083.132545933,984868.319881886,27616,14977,0,64TH ST,6400,E,QUESTA DR,24270,N,2016/11/02 07:00:00+00,11,MID2,South Bound,Volume Map,2,4496,2017,,2016/12/07 15:09:23+00,
692116.584317584,984868.311351709,27617,14977,0,64TH ST,6400,E,PINNACLE PEAK RD,23400,N,2016/11/02 07:00:00+00,7,MID2,North Bound,Volume Map,2,4496,2017,,2016/12/07 15:09:23+00,
677060.852690287,977245.460958004,27618,14981,0,DEER VALLEY RD,21940,N,40TH ST,4100,E,2016/11/02 07:00:00+00,6858,MID2,West Bound,Volume Map,2,1421,2017,,2016/12/07 15:19:37+00,
677024.268700786,977132.689960629,27619,14981,0,DEER VALLEY RD,21940,N,AVIANO WAY,3870,E,2016/11/02 07:00:00+00,6229,MID2,East Bound,Volume Map,2,1421,2017,,2016/12/07 15:19:37+00,
681474.166666668,971533.532480314,27620,14982,0,TATUM BLVD,4800,E,SR101,20600,N,2016/11/02 07:00:00+00,14994,MID2,South Bound,Volume Map,2,1040,2017,,2016/12/07 15:33:32+00,
681571.521653544,971533.475393698,27621,14982,0,TATUM BLVD,4800,E,MAYO BLVD,20100,N,2016/11/02 07:00:00+00,15254,MID2,North Bound,Volume Map,2,1040,2017,,2016/12/07 15:33:32+00,
659922.495734908,959837.237532809,27622,14984,0,16TH ST,1600,E,BELL RD,17000,N,2016/11/02 07:00:00+00,2927,MID2,South Bound,Volume Map,3,6048,2017,,2016/12/07 15:41:18+00,
659989.452099737,959837.152559057,27623,14984,0,16TH ST,1600,E,GREENWAY PKWY,16440,N,2016/11/02 07:00:00+00,2828,MID2,North Bound,Volume Map,3,6048,2017,,2016/12/07 15:41:18+00,
659417.878280841,957942.164698161,27624,14985,0,PARADISE LN,16200,N,16TH ST,1600,E,2016/11/02 07:00:00+00,1137,MID2,West Bound,Volume Map,3,1224,2017,,2016/12/07 15:44:11+00,
659417.803149607,957883.947178476,27625,14985,0,PARADISE LN,16200,N,12TH ST,1130,E,2016/11/02 07:00:00+00,1140,MID2,East Bound,Volume Map,3,1224,2017,,2016/12/07 15:44:11+00,
652682.743438318,952198.917650916,27626,14986,0,MEDINAN DR,0,E,MOON VALLEY DR,14500,N,2016/11/02 07:00:00+00,1134,MID2,South Bound,Volume Map,3,3461,2017,,2016/12/07 15:46:03+00,
652731.472769029,952213.39895013,27627,14986,0,MEDINAN DR,0,E,WINGED FOOT RD,14500,N,2016/11/02 07:00:00+00,1394,MID2,North Bound,Volume Map,3,3461,2017,,2016/12/07 15:46:03+00,
682104.651902888,978140.927493438,27628,14988,0,PATHFINDER DR,22250,N,TATUM BLVD,4800,E,2016/11/08 07:00:00+00,1452,MID2,West Bound,Volume Map,2,1423,2017,,2016/12/07 15:47:59+00,
682089.414370079,978089.995406821,27629,14988,0,PATHFINDER DR,22250,N,44TH ST,4400,E,2016/11/08 07:00:00+00,1491,MID2,East Bound,Volume Map,2,1423,2017,,2016/12/07 15:47:59+00,
681930.043635171,981288.453412071,27630,14989,0,44TH ST,4390,E,PINNACLE PEAK RD,23600,N,2016/11/08 07:00:00+00,364,MID2,South Bound,Volume Map,2,4516,2017,,2016/12/07 15:49:02+00,
681969.567257218,981262.959973752,27631,14989,0,44TH ST,4390,E,HAMBLIN DR,22690,N,2016/11/08 07:00:00+00,332,MID2,North Bound,Volume Map,2,4516,2017,,2016/12/07 15:49:02+00,
645791.841535434,910333.608267717,27632,14990,0,CAMPBELL AVE,4500,N,19TH AVE,1900,W,2016/11/08 07:00:00+00,1228,MID2,West Bound,Volume Map,4,3356,2017,,2016/12/07 15:50:22+00,
645791.748031497,910279.030183725,27633,14990,0,CAMPBELL AVE,4500,N,15TH AVE,1500,W,2016/11/08 07:00:00+00,942,MID2,East Bound,Volume Map,4,3356,2017,,2016/12/07 15:50:22+00,
638883.743110236,908385.019356959,27634,14991,0,27TH AVE,2700,W,CAMPBELL AVE,4500,N,2016/11/08 07:00:00+00,8818,MID2,South Bound,Volume Map,4,2152,2017,,2016/12/07 15:52:00+00,
638956.905839894,908384.878280841,27635,14991,0,27TH AVE,2700,W,INDIAN SCHOOL RD,4100,N,2016/11/08 07:00:00+00,12230,MID2,North Bound,Volume Map,4,2152,2017,,2016/12/07 15:52:00+00,
629278.604330707,920910.773622051,27636,14992,0,MARYLAND AVE,6500,N,43RD AVE,4300,W,2016/11/08 07:00:00+00,1894,MID2,West Bound,Volume Map,5,1361,2017,,2016/12/07 15:52:53+00,
629278.465879265,920848.918307088,27637,14992,0,MARYLAND AVE,6500,N,39TH AVE,3900,W,2016/11/08 07:00:00+00,2138,MID2,East Bound,Volume Map,5,1361,2017,,2016/12/07 15:52:53+00,
619241.50393701,910404.787729658,27638,14993,0,CAMPBELL AVE,4500,N,59TH AVE,5900,W,2016/11/08 07:00:00+00,1980,MID2,West Bound,Volume Map,5,2332,2017,,2016/12/07 15:53:45+00,
619241.29035433,910321.101377949,27639,14993,0,CAMPBELL AVE,4500,N,55TH AVE,5500,W,2016/11/08 07:00:00+00,1893,MID2,East Bound,Volume Map,5,2332,2017,,2016/12/07 15:53:45+00,
628314.570209973,908323.507874019,27640,14994,0,43RD AVE,4300,W,CAMPBELL AVE,4500,N,2016/11/08 07:00:00+00,16538,MID2,South Bound,Volume Map,5,3141,2017,,2016/12/07 20:47:29+00,
628409.072506562,908323.293963253,27641,14994,0,43RD AVE,4300,W,INDIAN SCHOOL RD,4100,N,2016/11/08 07:00:00+00,17212,MID2,North Bound,Volume Map,5,3141,2017,,2016/12/07 20:47:29+00,
630112.101706035,905077.538057745,27642,14995,0,OSBORN RD,3400,N,43RD AVE,4300,W,2016/11/08 07:00:00+00,3918,MID2,West Bound,Volume Map,4,1350,2017,,2016/12/07 20:49:03+00,
630111.973425198,905019.32152231,27643,14995,0,OSBORN RD,3400,N,39TH AVE,3900,W,2016/11/08 07:00:00+00,3895,MID2,East Bound,Volume Map,4,1350,2017,,2016/12/07 20:49:03+00,
633556.472112861,898902.794947505,27644,14996,0,35TH AVE,3500,W,ENCANTO BLVD,2300,N,2016/11/08 07:00:00+00,16250,MID2,South Bound,Volume Map,4,3156,2017,,2016/12/07 20:50:01+00,
633635.755577426,898902.628608927,27645,14996,0,35TH AVE,3500,W,MCDOWELL RD,1600,N,2016/11/08 07:00:00+00,16082,MID2,North Bound,Volume Map,4,3156,2017,,2016/12/07 20:50:01+00,
624886.202427823,899820.886811025,27646,14997,0,ENCANTO BLVD,2300,N,51ST AVE,5100,W,2016/11/08 07:00:00+00,2568,MID2,West Bound,Volume Map,4,3339,2017,,2016/12/07 20:50:59+00,
624886.081692912,899769.947506562,27647,14997,0,ENCANTO BLVD,2300,N,47TH AVE,4700,W,2016/11/08 07:00:00+00,2380,MID2,East Bound,Volume Map,4,3339,2017,,2016/12/07 20:50:59+00,
624727.514107611,897201.512467191,27648,14998,0,MCDOWELL RD,1600,N,51ST AVE,5100,W,2016/11/08 07:00:00+00,14504,MID2,West Bound,Volume Map,4,4354,2017,,2016/12/07 21:50:03+00,
624727.30675853,897114.187992126,27649,14998,0,MCDOWELL RD,1600,N,47TH AVE,4700,W,2016/11/08 07:00:00+00,13080,MID2,East Bound,Volume Map,4,4354,2017,,2016/12/07 21:50:03+00,
624692.669619422,895371.41010499,27650,14999,0,ROOSEVELT ST,1120,N,51ST AVE,5100,W,2016/11/08 07:00:00+00,2684,MID2,West Bound,Volume Map,7,4459,2017,,2016/12/07 21:50:56+00,
622353.340551183,849095.30347769,27651,15010,0,ESTRELLA DR,12400,S,51ST AVE,5100,W,2016/11/30 07:00:00+00,333,MID2,East Bound,Volume Map,8,2417,2017,,2016/12/13 19:25:33+00,
626751.418307088,849124.906167977,27652,15011,0,ESTRELLA DR,12400,S,47TH AVE,4700,W,2016/11/30 07:00:00+00,347,MID2,West Bound,Volume Map,8,6433,2017,,2016/12/13 19:26:55+00,
626751.33464567,849088.52165354,27653,15011,0,ESTRELLA DR,12400,S,43RD AVE,4300,W,2016/11/30 07:00:00+00,319,MID2,East Bound,Volume Map,8,6433,2017,,2016/12/13 19:26:55+00,
624704.712598424,895305.887795277,27654,14999,0,ROOSEVELT ST,1120,N,47TH AVE,4700,W,2016/11/08 07:00:00+00,3250,MID2,East Bound,Volume Map,7,4459,2017,,2016/12/07 21:50:56+00,
618599.600393701,891922.583989501,27655,15001,0,VAN BUREN ST,300,N,59TH AVE,5900,W,2016/11/08 07:00:00+00,9593,MID2,West Bound,Volume Map,7,6312,2017,,2016/12/07 21:52:48+00,
618593.285433073,891838.914041996,27656,15001,0,VAN BUREN ST,300,N,55TH AVE,5500,W,2016/11/08 07:00:00+00,10789,MID2,East Bound,Volume Map,7,6312,2017,,2016/12/07 21:52:48+00,
616815.399934385,891956.3238189,27657,15002,0,VAN BUREN ST,300,N,63RD AVE,6300,W,2016/11/08 07:00:00+00,10054,MID2,West Bound,Volume Map,7,3320,2017,,2016/12/07 21:54:15+00,
616815.208989501,891883.55347769,27658,15002,0,VAN BUREN ST,300,N,59TH AVE,5900,W,2016/11/08 07:00:00+00,11105,MID2,East Bound,Volume Map,7,3320,2017,,2016/12/07 21:54:15+00,
613460.3914042,891979.858923882,27659,15003,0,VAN BUREN ST,300,N,67TH AVE,6700,W,2016/11/08 07:00:00+00,11397,MID2,West Bound,Volume Map,7,4336,2017,,2016/12/09 22:21:31+00,
613460.182742782,891903.45013123,27660,15003,0,VAN BUREN ST,300,N,63RD AVE,6300,W,2016/11/08 07:00:00+00,10387,MID2,East Bound,Volume Map,7,4336,2017,,2016/12/09 22:21:31+00,
609388.095144358,897154.341535434,27661,15004,0,MCDOWELL RD,1600,N,75TH AVE,7500,W,2016/11/08 07:00:00+00,12318,MID2,West Bound,Volume Map,7,4339,2017,,2016/12/09 22:21:56+00,
609387.886811025,897081.571194224,27662,15004,0,MCDOWELL RD,1600,N,71ST AVE,7100,W,2016/11/08 07:00:00+00,12468,MID2,East Bound,Volume Map,7,4339,2017,,2016/12/09 22:21:56+00,
646397.981299214,917253.099409446,27663,15005,1,HATCHER RD,9400,N,15TH AVE,1500,W,2016/12/06 07:00:00+00,6950,MID2,West Bound,Classification,3,1185,2017,,2016/12/09 22:22:16+00,39
646428.732283466,935380.408792652,27664,15005,1,HATCHER RD,9400,N,17TH AVE,1700,W,2016/12/06 07:00:00+00,6269,MID2,East Bound,Classification,3,1185,2017,,2016/12/09 22:22:16+00,39
620762.91535433,994045.848425195,27665,15006,1,INSPIRATION MOUNTAIN PKWY,26610,N,QUAIL TRACK DR,5380,W,2016/12/06 07:00:00+00,593,MID2,West Bound,Cut Thru Traffic,1,4522,2017,,2016/12/12 14:31:06+00,36
620747.622375328,994009.5,27666,15006,1,INSPIRATION MOUNTAIN PKWY,26610,N,55TH DR,5520,W,2016/12/06 07:00:00+00,622,MID2,East Bound,Cut Thru Traffic,1,4522,2017,,2016/12/12 14:31:06+00,36
619222.310695536,991986.634514436,27667,15007,1,INSPIRATION MOUNTAIN PKWY,5700,W,57TH AVE,5640,W,2016/12/06 07:00:00+00,1873,MID2,West Bound,Cut Thru Traffic,1,6484,2017,,2016/12/12 14:32:29+00,35
619188.810039371,991964.888451442,27668,15007,1,INSPIRATION MOUNTAIN PKWY,5700,W,HOLLY LN,5700,W,2016/12/06 07:00:00+00,1748,MID2,East Bound,Cut Thru Traffic,1,6484,2017,,2016/12/12 14:32:29+00,35
618545.868438318,994932.093832023,27669,15008,1,PINNACLE VISTA DR,27700,N,BENT TREE DR,5330,W,2016/12/06 07:00:00+00,1721,MID2,West Bound,Cut Thru Traffic,1,2496,2017,,2016/12/12 14:35:04+00,34
618506.29035433,994910.364173226,27670,15008,1,PINNACLE VISTA DR,27700,N,58TH LN,5880,W,2016/12/06 07:00:00+00,1909,MID2,East Bound,Cut Thru Traffic,1,2496,2017,,2016/12/12 14:35:04+00,34
628240.076115485,890236.489501312,27671,15009,0,43RD AVE,4300,W,JEFFERSON ST,100,S,2016/12/06 07:00:00+00,11293,MID2,South Bound,Volume Map,7,4151,2017,,2016/12/13 15:44:01+00,
628316.331364829,890236.316929132,27672,15009,0,43RD AVE,4300,W,VAN BUREN ST,300,N,2016/12/06 07:00:00+00,9853,MID2,North Bound,Volume Map,7,4151,2017,,2016/12/13 15:44:01+00,
622353.411417324,849124.411089242,27673,15010,0,ESTRELLA DR,12400,S,MARICOPA TR,5500,W,2016/11/30 07:00:00+00,256,MID2,West Bound,Volume Map,8,2417,2017,,2016/12/13 19:25:33+00,
622877.604002625,854962.88057743,27674,15015,0,51ST AVE,10800,S,ELLIOT RD,10800,S,2016/11/30 07:00:00+00,6546,MID2,South Bound,Volume Map,8,3114,2017,,2016/12/19 16:39:12+00,
622917.300853018,854962.784448817,27675,15015,0,51ST AVE,10800,S,OLNEY DR,10800,S,2016/11/30 07:00:00+00,7313,MID2,North Bound,Volume Map,8,3114,2017,,2016/12/19 16:39:12+00,
625517.326771654,856866.791338585,27676,15016,0,47TH AVE,10800,S,ELLIOT RD,10500,S,2016/11/30 07:00:00+00,122,MID2,South Bound,Volume Map,8,6482,2017,,2016/12/19 16:40:14+00,
